Date,StringencyIndex_Average,lockdown_dummy
2020-01-01,0.0,0
2020-01-02,0.0,0
2020-01-03,0.0,0
2020-01-04,0.0,0
2020-01-05,0.0,0
2020-01-06,0.0,0
2020-01-07,0.0,0
2020-01-08,0.0,0
2020-01-09,0.0,0
2020-01-10,0.0,0
2020-01-11,0.0,0
2020-01-12,0.0,0
2020-01-13,0.0,0
2020-01-14,0.0,0
2020-01-15,0.0,0
2020-01-16,0.0,0
2020-01-17,0.0,0
2020-01-18,0.0,0
2020-01-19,0.0,0
2020-01-20,0.0,0
2020-01-21,0.0,0
2020-01-22,0.0,0
2020-01-23,0.0,0
2020-01-24,0.0,0
2020-01-25,0.0,0
2020-01-26,0.0,0
2020-01-27,0.0,0
2020-01-28,0.0,0
2020-01-29,0.0,0
2020-01-30,0.0,0
2020-01-31,0.0,0
2020-02-01,0.0,0
2020-02-02,5.56,0
2020-02-03,5.56,0
2020-02-04,5.56,0
2020-02-05,5.56,0
2020-02-06,5.56,0
2020-02-07,5.56,0
2020-02-08,5.56,0
2020-02-09,5.56,0
2020-02-10,5.56,0
2020-02-11,8.33,0
2020-02-12,8.33,0
2020-02-13,8.33,0
2020-02-14,8.33,0
2020-02-15,8.33,0
2020-02-16,8.33,0
2020-02-17,8.33,0
2020-02-18,8.33,0
2020-02-19,8.33,0
2020-02-20,8.33,0
2020-02-21,8.33,0
2020-02-22,8.33,0
2020-02-23,8.33,0
2020-02-24,8.33,0
2020-02-25,8.33,0
2020-02-26,8.33,0
2020-02-27,8.33,0
2020-02-28,8.33,0
2020-02-29,8.33,0
2020-03-01,11.11,0
2020-03-02,11.11,0
2020-03-03,11.11,0
2020-03-04,11.11,0
2020-03-05,20.37,0
2020-03-06,20.37,0
2020-03-07,20.37,0
2020-03-08,20.37,0
2020-03-09,20.37,0
2020-03-10,20.37,0
2020-03-11,21.76,0
2020-03-12,30.09,0
2020-03-13,30.09,0
2020-03-14,35.65,0
2020-03-15,41.2,0
2020-03-16,52.31,1
2020-03-17,55.09,1
2020-03-18,55.09,1
2020-03-19,67.13,1
2020-03-20,67.13,1
2020-03-21,72.69,1
2020-03-22,72.69,1
2020-03-23,72.69,1
2020-03-24,72.69,1
2020-03-25,72.69,1
2020-03-26,72.69,1
2020-03-27,72.69,1
2020-03-28,72.69,1
2020-03-29,72.69,1
2020-03-30,72.69,1
2020-03-31,72.69,1
2020-04-01,72.69,1
2020-04-02,72.69,1
2020-04-03,72.69,1
2020-04-04,72.69,1
2020-04-05,72.69,1
2020-04-06,72.69,1
2020-04-07,72.69,1
2020-04-08,72.69,1
2020-04-09,72.69,1
